Date,Price,Open,High,Low,Vol.,Change %,GoogleValues
2018-01-28,11795.1,11471.2,12112.7,11433.3,154.63,2.86,72
2018-01-21,11594.9,12857.1,12860.2,11164.5,206.96,-9.83,66
2018-01-14,13695.2,14291.9,14446.1,13094.7,85.12,-4.18,100
2018-01-07,16228.2,17174.5,17184.8,15791.1,79.01,-5.5,84
2017-12-31,13850.4,12532.4,14241.8,12359.4,111.27,10.52,44
2017-12-24,13790.0,14396.6,14413.7,12166.5,182.42,-4.21,61
2017-12-17,19065.7,19346.6,19870.6,18750.9,117.41,-1.45,100
2017-12-10,15059.6,14840.0,15783.2,13031.0,201.62,1.46,80
2017-12-03,11246.2,10912.7,11851.1,10578.4,122.13,3.06,82
2017-11-26,9318.4,8754.6,9474.6,8746.6,85.89,6.44,61
2017-11-19,8042.6,7781.0,8100.9,7675.4,68.62,3.36,26
2017-11-12,5878.1,6339.9,6490.5,5493.6,269.83,-7.28,31
2017-11-05,7389.5,7363.8,7599.4,7284.3,105.73,0.35,27
2017-10-29,6147.5,5726.6,6295.4,5679.4,163.06,7.35,27
2017-10-22,5982.9,6006.6,6070.6,5723.0,105.03,-0.4,19
2017-10-15,5688.1,5824.7,5862.7,5448.2,101.64,-2.34,20
2017-10-08,4611.7,4435.8,4622.9,4419.4,71.37,3.97,18
2017-10-01,4403.1,4360.6,4412.6,4258.3,60.58,0.97,11
2017-09-24,3667.5,3788.0,3790.9,3633.9,49.66,-3.18,12
2017-09-17,3689.6,3698.9,3796.6,3485.8,96.07,-0.25,14
2017-09-10,4245.9,4335.1,4338.1,4032.1,108.08,-2.06,20
2017-09-03,4612.9,4573.8,4719.8,4397.7,102.82,0.86,17
2017-08-27,4345.8,4352.3,4408.2,4321.1,42.52,-0.15,16
2017-08-20,4066.6,4150.5,4182.3,4034.4,70.16,-2.02,15
2017-08-13,4062.6,3871.6,4189.4,3847.3,158.59,4.93,19
2017-08-06,3232.0,3262.8,3295.1,3166.5,60.66,-0.94,13
2017-07-30,2766.5,2733.5,2773.1,2621.7,82.72,1.21,14
2017-07-23,2756.6,2836.5,2856.7,2675.6,108.23,-2.82,10
2017-07-16,1914.1,1975.1,2044.4,1809.0,189.64,-3.09,11
2017-07-09,2511.4,2564.9,2576.7,2509.6,39.16,-2.08,9
2017-07-02,2536.5,2424.6,2555.3,2375.9,67.76,4.61,9
2017-06-25,2541.6,2590.1,2660.7,2472.4,86.97,-1.87,10
2017-06-18,2539.6,2655.1,2676.0,2488.6,92.0,-4.35,10
2017-06-11,2973.4,2900.3,2977.9,2867.3,83.03,2.52,12
2017-06-04,2524.1,2545.4,2559.8,2478.2,59.48,-0.84,11
2017-05-28,2189.0,2052.4,2300.5,2051.1,125.0,6.66,12
2017-05-21,2044.2,2040.2,2094.9,1980.1,78.78,0.2,17
2017-05-14,1772.6,1763.7,1802.8,1736.1,40.64,0.5,11
2017-05-07,1554.4,1545.3,1572.9,1495.2,71.36,0.59,9
2017-04-30,1351.9,1336.3,1358.9,1309.7,40.64,1.17,7
2017-04-23,1249.1,1240.9,1256.2,1223.1,42.61,0.66,5
2017-04-16,1176.8,1177.0,1188.0,1166.7,18.93,-0.02,4
2017-04-09,1204.3,1180.8,1215.1,1174.0,45.35,2.0,4
2017-04-02,1097.4,1086.1,1109.5,1074.2,70.98,1.04,4
2017-03-26,969.4,966.3,1004.3,946.7,85.33,0.32,5
2017-03-19,1022.6,971.4,1063.7,967.3,106.45,5.27,5
2017-03-12,1225.1,1179.2,1235.5,1160.9,44.41,3.89,5
2017-03-05,1271.2,1264.3,1273.3,1242.1,25.43,0.55,7
2017-02-26,1171.6,1149.1,1177.5,1130.6,30.77,1.96,5
2017-02-19,1048.9,1052.3,1056.5,1037.7,17.95,-0.32,5
2017-02-12,996.5,1008.3,1007.8,992.5,14.75,-1.17,4
2017-02-05,1016.1,1031.8,1033.7,1004.0,31.06,-1.53,4
2017-01-29,914.5,918.5,922.4,912.7,11.05,-0.43,4
2017-01-22,918.8,919.8,938.4,888.6,47.93,-0.11,4
2017-01-15,821.2,819.6,826.4,808.6,24.4,0.19,4
2017-01-08,900.9,888.9,936.1,875.8,76.91,1.35,6
2017-01-01,995.4,963.4,1001.6,956.1,41.15,3.33,6
2016-12-25,891.1,891.1,895.2,851.4,42.48,0.0,100
2016-12-18,789.0,787.2,791.3,783.8,14.53,0.23,86
2016-12-11,767.9,774.0,774.2,763.0,17.14,-0.79,69
2016-12-04,766.4,764.2,769.2,758.8,19.16,0.28,70
2016-11-27,729.4,734.1,738.3,727.1,21.35,-0.64,70
2016-11-20,728.5,747.9,752.3,712.8,47.42,-2.59,66
2016-11-13,702.0,704.3,705.6,685.0,36.14,-0.33,70
2016-11-06,709.9,702.1,714.1,697.6,25.81,1.11,71
2016-10-30,697.3,715.0,714.9,689.5,39.33,-2.47,68
2016-10-23,653.0,655.5,661.2,648.8,21.91,-0.37,62
2016-10-16,640.1,637.0,642.2,636.4,12.89,0.49,57
2016-10-09,615.8,617.7,618.3,613.0,13.43,-0.3,55
2016-10-02,610.7,613.4,614.2,607.7,16.54,-0.44,53
2016-09-25,601.5,602.6,604.9,598.3,13.28,-0.18,50
2016-09-18,610.7,607.1,612.4,605.2,16.33,0.6,56
2016-09-11,605.6,624.5,630.8,592.8,36.54,-3.03,53
2016-09-04,609.5,598.8,615.2,590.8,30.69,1.79,55
2016-08-28,575.0,570.3,576.3,569.2,12.83,0.81,49
2016-08-21,580.7,582.6,585.3,577.8,14.16,-0.33,52
2016-08-14,569.1,584.6,585.8,559.9,33.07,-2.66,49
2016-08-07,590.8,586.5,596.0,580.9,26.2,0.75,54
2016-07-31,621.9,654.7,654.9,621.4,62.89,-5.02,73
2016-07-24,659.3,655.2,664.2,651.0,29.82,0.63,55
2016-07-17,676.3,660.7,680.9,660.1,46.84,2.37,53
2016-07-10,647.1,651.8,652.0,636.8,29.26,-0.72,62
2016-07-03,661.6,698.1,701.5,644.6,99.27,-5.22,68
2016-06-26,625.4,663.5,665.2,609.9,88.93,-5.74,71
2016-06-19,761.0,753.8,765.1,740.4,60.45,0.96,90
2016-06-12,666.5,591.6,683.8,592.8,217.38,12.67,97
2016-06-05,574.9,572.0,583.6,567.8,64.52,0.52,64
2016-05-29,516.0,524.2,548.0,493.2,152.57,-1.56,70
2016-05-22,439.6,443.6,444.2,436.9,28.74,-0.91,50
2016-05-15,458.1,456.4,460.3,455.0,21.2,0.37,53
2016-05-08,457.9,458.5,460.2,454.9,27.6,-0.13,54
2016-05-01,452.2,448.5,454.2,447.5,21.75,0.83,83
2016-04-24,457.6,450.1,461.8,447.9,74.43,1.66,54
2016-04-17,426.3,430.0,430.6,423.8,25.59,-0.88,45
2016-04-10,420.3,418.0,421.6,416.7,23.3,0.53,45
2016-04-03,419.1,418.5,420.2,417.0,22.8,0.13,48
2016-03-27,424.6,416.5,427.4,415.5,61.72,1.94,48
2016-03-20,411.5,408.7,413.5,407.2,30.54,0.69,47
2016-03-13,412.4,410.4,415.9,409.6,34.98,0.5,49
2016-03-06,406.0,399.0,412.0,393.1,62.59,1.74,50
